,ISO3Code (v. 10),Indicator,SYS_AIR,SYS_AIR.1,SYS_AIR.2,SYS_AIR.3,SYS_BIO,SYS_BIO.1,SYS_BIO.2,SYS_BIO.3,SYS_BIO.4,SYS_LAN,SYS_LAN.1,SYS_WQL,SYS_WQL.1,SYS_WQL.2,SYS_WQL.3,SYS_WQN,SYS_WQN.1,STR_AIR,STR_AIR.1,STR_AIR.2,STR_AIR.3,STR_AIR.4,STR_ECO,STR_ECO.1,STR_POP,STR_POP.1,STR_WAS,STR_WAS.1,STR_WAS.2,STR_WAT,STR_WAT.1,STR_WAT.2,STR_WAT.3,STR_NRM,STR_NRM.1,STR_NRM.2,STR_NRM.3,STR_NRM.4,VUL_HEA,VUL_HEA.1,VUL_HEA.2,VUL_SUS,VUL_SUS.1,VUL_DIS,VUL_DIS.1,CAP_GOV,CAP_GOV.1,CAP_GOV.2,CAP_GOV.3,CAP_GOV.4,CAP_GOV.5,CAP_GOV.6,CAP_GOV.7,CAP_GOV.8,CAP_GOV.9,CAP_GOV.10,CAP_GOV.11,CAP_EFF,CAP_EFF.1,CAP_PRI,CAP_PRI.1,CAP_PRI.2,CAP_PRI.3,CAP_PRI.4,CAP_ST,CAP_ST.1,CAP_ST.2,CAP_ST.3,CAP_ST.4,GLO_COL,GLO_COL.1,GLO_COL.2,GLO_GHG,GLO_GHG.1,GLO_TBP,GLO_TBP.1
0,,Country (alphabetical order),NO2,SO2,TSP,INDOOR,ECORISK,PRTBRD,PRTMAM,PRTAMPH,NBI,ANTH10,ANTH40,WQ_DO,WQ_EC,WQ_PH,WQ_SS,WATAVL,GRDAVL,NOXKM,SO2KM,VOCKM,COALKM,CARSKM,FOREST,ACEXC,GR2050,TFR,EFPC,RECYCLE,HAZWST,BODWAT,FERTHA,PESTHA,WATSTR,OVRFSH,IRRSAL,FORCERT,WEFSUB,AGSUB,DISINT,DISRES,U5MORT,UND_NO,WATSUP,DISCAS,DISEXP,PRAREA,GASPR,CSDMIS,KNWLDG,IUCN,AGENDA21,GRAFT,LAW,CIVLIB,WEFGOV,GOVEFF,POLITY,ENEFF,RENPC,DJSGI,ECOVAL,ISO14,WEFPRI,RESCARE,INNOV,DAI,PECR,ENROL,RESEARCH,EIONUM,FUNDING,PARTICIP,CO2GDP,CO2PC,SO2EXP,POLEXP
38,CAN,Canada,34.73,9.32,11.41,0,6.88,1.88,8.29,2.27,0.3,88.23,0.82,8.13,153.29,0.01,0.64,86.59,11.6,0.08,7.52,7.46,4.47,48.97,0,5.39,16,1.5,8.56,54,5900000,0.12,521.77,0.6,0.87,3,..,1.72,4.94,2,0.04,0,7,1,100,0.05,0.02,6.3,0.84,6.52,1.67,1.15,0.45,2.03,1.79,1,47.65,1.88,10,13.39,25,0.19,0.47,1.34,12.79,4,4.45,0.78,..,59.2,2978.16,17,28,0.93,168.23,18.25,..,37.17
39,CPV,Cape Verde,..,..,..,..,0,..,..,..,..,0.95,0,..,..,..,..,..,..,..,..,..,0,4.08,9.3,0,74,4,..,..,..,..,25.64,0.1,..,3,..,0,..,0,..,..,38,..,80,..,..,0.3,0.97,..,..,0,..,0.33,0.67,1.5,..,-0.2,..,0.98,0,..,..,0,..,0,..,0.39,100,..,..,4,67.95,0.42,56.83,0.32,..,..
40,CYM,Cayman Islands,..,..,..,..,0,..,..,0,..,0,0,..,..,..,..,..,..,..,..,..,0,96.52,0,0,109,2.03,..,..,..,..,..,..,..,1,..,0,..,0,..,..,..,..,..,..,0.51,53.8,..,..,..,0,..,1.29,0.83,..,..,1.89,..,..,0,..,..,0,..,0,..,..,..,..,..,0,..,0,..,7.78,..,..
41,CAF,Central Afr. Rep.,..,..,..,99,2.14,0.56,6.7,0,0.51,62.35,0.01,..,..,..,..,57.73,14.97,0.61,0.29,3.29,0,0.05,-0.1,0,65,4.86,1.48,0,..,0,3.11,..,0,..,..,0,..,0,..,..,180,44,75,0.09,0.01,16.6,1.64,30.43,..,0,..,-1.02,-0.88,5,..,-1.43,5,1.19,15.33,..,..,0,..,0,..,0.1,53,1.92,..,9,35.9,0.42,58.8,0.07,..,12.6
42,TCD,Chad,..,..,..,100,45.66,1.35,11.19,0,0.36,65.66,0.01,..,..,..,..,8.07,1.21,0.17,0.1,0.96,0,0.05,-0.6,0,206,6.6,1.31,0,..,..,48.61,..,1.95,..,..,0,2.6,0,..,..,200,34,34,28.5,0.14,9.4,1.3,41.3,..,0,..,-1.02,-0.93,5.5,22.41,-0.75,-1.6,0.34,0,..,..,0,8.74,0,1.36,0.1,70,0.88,..,7,50.64,0.63,21.15,0.02,..,..
43,CHL,Chile,81,29,..,15,20.75,7.43,23.08,37.74,0.57,53.64,1.09,..,..,..,..,20.28,8.76,0.67,6.7,1.04,0.29,6.89,-0.1,0,39,2.35,3.04,8,..,0.25,2426.84,6.7,52.44,7,1.46,6.35,5.05,0,3.23,0.02,12,4,95,1.21,1.43,3.6,0.95,17.39,18,0.38,0.96,1.55,1.3,1.5,42.26,1.19,9.3,6.54,22.19,0,..,0.52,10.56,4,2.79,0.58,93,37.52,418.58,12,60.26,0.93,201.26,3.91,..,23.58
44,CHN,China,71.72,97.07,310.82,30,38.02,6.8,20.25,27.3,0.84,35.55,1.09,8.62,522.78,0.28,7.97,1.88,0.64,0.75,2.68,2.08,3.9,2.08,1.2,15.66,11,1.7,1.36,..,9520000,2.74,2463.03,..,40.67,7,..,0,4.08,1,0.19,2,38,11,77,1.83,0.72,7.8,0.69,15.22,30.33,0.01,0.02,-0.41,-0.22,6.5,35.39,0.18,-7,6.98,7.29,..,-0.68,0.86,10.6,0,1.97,0.43,99,12.61,583.93,12,76.28,0.73,731.44,2.19,1230,29.04
45,CXR,Christmas Island,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
46,CCK,Cocos (Keeling) Islands,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
47,COL,Colombia,..,..,120,36,30.19,4.59,10.86,29.8,0.94,51.68,1.48,..,..,..,..,90.58,11.25,0.52,0.32,0.76,0.2,2.46,-0.4,0,48,2.58,1.51,11.5,..,0.03,2545.31,16.7,0.44,4,..,0.12,4.11,1,13.69,0.01,23,13,92,1.39,1.01,72.3,0.72,15.22,23.67,0.21,0.14,-0.47,-0.75,4,36.1,-0.39,6.4,4.12,29.3,..,..,0.32,10.26,4,2.28,0.45,100,23.33,100.7,14,43.59,0.82,164.79,1.39,..,25.68
48,COM,Comoros,..,..,..,..,100,..,..,..,..,1.06,1.29,..,..,..,..,..,..,..,..,..,0,..,-4.3,0,181,6.8,..,..,..,..,37.5,..,..,4,..,0,..,0,..,..,79,..,94,..,0.16,24.3,..,..,..,0,..,-0.73,0.19,4.5,..,-0.84,1.1,1.4,1.38,..,..,0,..,0,..,0.13,73,1.09,..,5,19.23,0.57,90.52,0.11,..,..
