,ISO3Code (v. 10),Indicator,SYS_AIR,SYS_AIR.1,SYS_AIR.2,SYS_AIR.3,SYS_BIO,SYS_BIO.1,SYS_BIO.2,SYS_BIO.3,SYS_BIO.4,SYS_LAN,SYS_LAN.1,SYS_WQL,SYS_WQL.1,SYS_WQL.2,SYS_WQL.3,SYS_WQN,SYS_WQN.1,STR_AIR,STR_AIR.1,STR_AIR.2,STR_AIR.3,STR_AIR.4,STR_ECO,STR_ECO.1,STR_POP,STR_POP.1,STR_WAS,STR_WAS.1,STR_WAS.2,STR_WAT,STR_WAT.1,STR_WAT.2,STR_WAT.3,STR_NRM,STR_NRM.1,STR_NRM.2,STR_NRM.3,STR_NRM.4,VUL_HEA,VUL_HEA.1,VUL_HEA.2,VUL_SUS,VUL_SUS.1,VUL_DIS,VUL_DIS.1,CAP_GOV,CAP_GOV.1,CAP_GOV.2,CAP_GOV.3,CAP_GOV.4,CAP_GOV.5,CAP_GOV.6,CAP_GOV.7,CAP_GOV.8,CAP_GOV.9,CAP_GOV.10,CAP_GOV.11,CAP_EFF,CAP_EFF.1,CAP_PRI,CAP_PRI.1,CAP_PRI.2,CAP_PRI.3,CAP_PRI.4,CAP_ST,CAP_ST.1,CAP_ST.2,CAP_ST.3,CAP_ST.4,GLO_COL,GLO_COL.1,GLO_COL.2,GLO_GHG,GLO_GHG.1,GLO_TBP,GLO_TBP.1
0,,Country (alphabetical order),NO2,SO2,TSP,INDOOR,ECORISK,PRTBRD,PRTMAM,PRTAMPH,NBI,ANTH10,ANTH40,WQ_DO,WQ_EC,WQ_PH,WQ_SS,WATAVL,GRDAVL,NOXKM,SO2KM,VOCKM,COALKM,CARSKM,FOREST,ACEXC,GR2050,TFR,EFPC,RECYCLE,HAZWST,BODWAT,FERTHA,PESTHA,WATSTR,OVRFSH,IRRSAL,FORCERT,WEFSUB,AGSUB,DISINT,DISRES,U5MORT,UND_NO,WATSUP,DISCAS,DISEXP,PRAREA,GASPR,CSDMIS,KNWLDG,IUCN,AGENDA21,GRAFT,LAW,CIVLIB,WEFGOV,GOVEFF,POLITY,ENEFF,RENPC,DJSGI,ECOVAL,ISO14,WEFPRI,RESCARE,INNOV,DAI,PECR,ENROL,RESEARCH,EIONUM,FUNDING,PARTICIP,CO2GDP,CO2PC,SO2EXP,POLEXP
159,NOR,Norway,38,4,24.2,0,2.91,0.82,18.52,0,0.3,41,3.02,..,..,0.01,..,60.77,20.92,1.94,0.23,3.16,0.54,20.33,0.4,15.96,22,1.8,8.17,85,630000,0.21,2170.46,0.6,0.66,7,0,100,5.15,7,0.59,0,4,1,100,0.01,..,6.2,2.02,10.87,12.67,1.32,62.36,2,1.96,1,55.84,1.84,10,11.38,63.68,0.66,0.96,2.11,12.79,4,4.23,0.79,100,70.01,4376.69,15,76,1,77.14,9.26,24.75,27.33
160,PSE,Occupied Palestinian Territory,..,..,..,..,81.65,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,211,5.72,..,..,..,..,..,..,..,..,..,0,..,0,..,..,25,..,94,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,0.38,100,..,..,3,..,0,..,..,..,..
161,OMN,Oman,..,..,..,0,0,9.35,19.64,0,0.36,76.24,0.73,..,..,..,..,1.35,0.36,0.09,0.11,1.45,0,8.47,5.3,0,93,4.1,..,..,242098,2.01,1576.58,1.2,49.91,3,..,0,..,0,..,..,13,..,79,0,0.01,9.6,0.51,32.61,..,0.39,0.39,1.03,0.83,5.5,..,0.69,-7.9,10.11,0,..,..,0.18,..,0,..,0.43,74,8.49,..,16,14.1,0.37,378.21,7.58,..,33.85
162,PNG,P. N. Guinea,..,..,..,97,37.76,4.9,26.13,4.22,0.78,46.17,0.08,..,..,..,..,151.7,..,0.01,0.04,0.08,0,0.38,-0.4,0,90,4.14,1.25,..,..,..,561.9,0.1,0,2,..,0,..,0,..,..,94,27,39,2.4,0.3,1.6,0.87,34.78,..,0.19,..,-0.9,-0.82,2.5,..,-0.78,10,3.56,20.96,..,..,0,..,0,..,0.26,83,2.33,..,6,54.49,0.55,135.94,0.46,..,26.88
163,PAK,Pakistan,..,..,..,76,74.91,4.53,11.26,0,0.5,12.26,2.88,6.77,492.46,0.67,5.54,1.01,0.35,0.25,0.3,1.53,0.12,2.31,-1.5,0,85,4.77,0.67,12,1627143,0.82,1360.44,0.5,76.37,5,..,0,3.64,0,..,..,104,19,90,2.28,0.92,9.2,0.85,19.57,..,0.16,0.01,-0.73,-0.7,5.5,28.5,-0.5,1.3,6.17,10.15,..,..,0.09,8.99,0,1.54,0.24,79,..,..,9,33.33,0.67,401.62,0.74,42,7.03
164,PLW,Palau,..,..,..,..,100,..,..,0,..,4.29,4.02,..,..,..,..,..,..,..,..,..,..,..,0,0,24,1.6,..,..,126183,..,..,..,..,2,..,0,..,0,..,..,29,..,84,..,..,..,..,..,..,0,..,..,..,1.5,..,..,..,..,..,..,..,0,..,0,..,..,100,30.93,..,1,98.08,0.5,629,12.59,..,..
165,PAN,Panama,42,..,..,37,33.93,2.19,7.8,27.51,0.79,16.91,3.64,..,..,..,..,28.89,6.62,0.28,0.03,0.1,0.03,5.17,-1.6,0,58,2.7,1.89,0,..,0.15,532.85,4.7,0,5,0,0.38,3.81,0,..,..,25,26,91,0.32,0.22,19.5,0.84,23.91,25,4.08,..,-0.24,0,1.5,30.82,-0.14,9.9,10.78,12.1,..,..,0.06,9.37,0,2.64,0.47,100,34.9,95.27,12,55.13,0.9,173.9,2.15,..,..
166,PRY,Paraguay,..,..,..,64,55.81,4.68,3.28,1.28,0.61,56.45,0.47,..,..,..,..,110.27,6.81,50.7,0,0.01,0,..,-0.5,0,101,3.84,2.29,4,..,0.01,221.19,3.4,0,..,..,0.01,3.7,0,31.35,0.04,30,13,83,0.85,0.6,4.1,0.92,17.39,33.67,1.09,..,-1.22,-1.12,3.5,23.27,-1.29,5.9,14.67,124.46,..,..,0,7.2,0,1.65,0.39,100,16.55,166.03,8,60.9,0.87,106.91,0.67,..,19.15
167,PER,Peru,..,..,..,40,2.95,4.93,10,19.6,0.84,56.76,0.45,..,..,..,..,65.42,11,0.38,0.25,0.54,0.05,2.47,-0.4,0,55,2.8,1.26,7,..,0.03,812.7,1.2,20.09,7,7,0,4.06,0,12.66,0.01,39,11,81,4.56,0.54,16.7,1.21,23.91,15.67,0.3,0.64,-0.2,-0.44,2.5,28.25,-0.47,3.78,4.03,31.97,..,..,0.23,8.92,4,2.3,0.44,100,..,228.83,11,87.18,0.81,133.16,1.14,..,20.01
168,PHL,Philippines,..,33,200,85,92.51,34.18,31.65,48.98,0.79,0.85,2.73,7.42,136.7,..,3.81,3.94,2.15,1.17,1.56,1.05,0.66,14.61,-1.4,0,76,3.54,1.11,0,..,0.75,1382.95,..,15.2,6,0,0.26,3.49,0,49.15,26.84,37,22,85,15.58,1.63,7.8,0.57,13.04,..,0.04,0.35,-0.52,-0.5,2.5,28.66,-0.06,8,3.35,24.3,0,..,0.5,9.49,4,2.41,0.43,100,31.21,..,11,96.15,0.83,235.39,1.02,72.3,23.11
169,PCN,Pitcairn,..,..,..,..,0,..,..,..,..,100,0,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,1,..,0,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,0,..,0,..,..,..,..
170,POL,Poland,28.72,20.56,40.85,7,100,1.76,16.67,0,0.37,0.03,9.22,10.12,969.12,0.24,3.33,1.75,0.33,2.69,4.85,1.92,6.89,40.35,0.2,53.45,-15,1.25,3.4,17.2,1029350,5.76,1114.21,0.78,0.98,6,0,68.45,4.07,2,0.12,0.01,7.5,0,..,0.08,0.18,23.5,1.36,15.22,47.33,0.23,1.81,0.39,0.65,1.5,38.51,0.61,9.8,7.77,0.9,..,-0.34,1.06,10.28,4,3.2,0.59,98,55.54,1473.02,11,23.72,0.82,578.54,8.22,1564,33.32
171,PRT,Portugal,49.69,6.77,38.57,0,80.53,3.38,26.98,0,0.51,0.63,10.12,13.76,52.1,..,..,5.05,0.38,4.47,3.84,5.62,1.29,79.22,1.7,3.24,-11,1.44,5.34,40,258464,2.41,1145.73,5.5,63.22,6,0,0,4.48,6,0.14,1.02,6,1,..,0.34,0.43,5.1,1.59,15.22,52.33,0.39,2.65,1.33,1.3,1,43.3,1.03,10,5.5,9.14,0,-0.55,1.33,10.07,4,2.98,0.65,..,50.2,1754.19,17,64,0.89,125.68,6.47,286,28.65
172,PRI,Puerto Rico,..,..,..,..,97.59,..,..,72.22,..,0.07,60.86,..,..,..,..,..,..,..,..,..,0.43,229.72,-0.2,0,-2,1.82,..,..,..,..,..,..,..,2,0,0,..,0,0.06,2.79,..,..,..,..,0.99,3.4,..,67.39,..,0,..,1.19,1.3,..,..,1.17,..,4.74,0.46,..,..,0.05,..,0,..,..,..,..,..,0,..,0,45.74,..,..,..
173,QAT,Qatar,..,..,..,0,0,..,..,..,0.19,33.66,7.88,..,..,..,..,..,..,..,..,..,0,76.09,9.6,0,67,4,..,..,..,..,500,3.2,..,2,..,0,..,0,..,1.5,16,..,100,..,..,1.1,..,52.17,..,0,1.64,0.92,-0.78,6,..,0.69,-10,..,0,..,..,0.12,..,0,..,0.55,100,24.62,..,4,..,0.37,..,70.06,..,..
174,REU,Réunion,..,..,..,..,0,..,..,..,..,0.76,13.49,..,..,..,..,..,..,..,..,..,0,97.26,-0.8,0,37,2.5,..,..,..,..,..,..,..,4,..,0,..,0,..,..,..,..,..,..,0.97,9.6,..,..,..,..,..,..,..,..,..,..,..,..,12.7,..,..,0,..,0,..,..,..,..,..,1,..,0,..,..,..,..
175,ROU,Romania,16.63,6.58,82,9,100,3.24,20.24,0,0.42,0.12,4.72,0,..,..,..,9.2,0.38,2.06,5.14,1.76,1.21,15.91,0.2,19.27,-27,1.23,2.46,..,792168,1.6,348.3,0.8,1.92,4,..,0.49,3.35,0,1.21,0,21,0,57,0.41,0.36,2.5,1.05,..,42.67,0.13,0.54,-0.34,-0.12,2,29.09,-0.33,8.1,11.12,9.88,..,..,0.66,9.69,0,2.3,0.48,100,27.32,879.25,9,..,0.65,718.19,4.96,912,23.84
176,RUS,Russia,109.16,3,20.84,1,17.59,6.05,16.73,0,0.45,72.38,0.91,9.5,39.14,0.01,2.86,24.65,5.47,0.67,2.08,1.23,1.56,7.84,..,0.33,-17,1.39,4.28,13.9,12800000,0.41,129.4,0.2,2.91,4,..,0.25,3.24,0,1.6,18.77,21,4,96,0.06,0.09,7.6,0.57,15.22,33,0.07,0.2,-0.9,-0.78,5,31.35,-0.4,5.9,21.93,6.74,..,-1.29,0.04,9.04,0,3.36,0.5,..,64.09,3494.15,16,17.31,0.75,913.98,10.32,1904.26,15.47
177,RWA,Rwanda,..,..,..,100,53.51,1.75,5.3,21.62,0.73,1.85,0.43,..,..,..,..,1.88,0.43,0.32,0.49,5.13,0,1.11,-3.9,0,104,5.8,0.78,0,..,..,3,0.1,0,..,..,0,..,0,..,..,203,41,73,0.34,0.97,7.7,1.38,30.43,..,0,0.12,-0.58,-1.01,6,..,-0.82,-4.4,1.25,12.15,..,..,0,..,0,..,0.15,100,1.67,..,6,32.05,0.57,75.71,0.07,..,15.26
178,SHN,Saint Helena,..,..,..,..,0,..,..,..,..,0,0,..,..,..,..,..,..,..,..,..,0,..,0,0,..,..,..,..,..,..,..,..,..,2,..,0,..,0,..,..,..,..,..,..,..,6.5,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,0,..,0,..,..,..,..,..,0,..,0,..,2.18,..,..
179,KNA,Saint Kitts and Nevis,..,..,..,..,0,..,..,50,..,0.51,49.49,..,..,..,..,..,..,..,..,4.3,0,41.93,-0.6,0,32,2.14,..,..,..,..,2428.57,..,..,2,..,0,..,0,..,..,24,..,99,..,2,0.1,..,..,..,0,..,0.4,0.88,1.5,..,-0.06,..,2.43,0,..,..,0,..,0,..,0.6,100,..,..,2,24.36,0.48,..,2.43,..,..
180,LCA,Saint Lucia,..,..,..,..,0,..,..,0,..,0.32,21.04,..,..,..,..,..,..,2.28,0.98,6.45,0,39.21,-4.9,0,43,2.2,..,..,340,..,13250,10.3,..,4,..,0,..,0,..,..,19,..,98,..,..,14.7,..,..,..,6.25,..,0.4,1.55,1.5,..,-0.06,..,5.65,0,..,..,1.18,..,0,..,0.52,100,25.4,..,3,30.13,0.58,150.57,2.31,..,..
181,SPM,Saint Pierre and Miquelon,..,..,..,..,..,..,..,..,..,10.98,4.07,..,..,..,..,..,..,..,..,..,0,..,..,0,..,..,..,..,..,..,..,..,..,2,..,0,..,0,..,..,..,..,..,..,0.91,0,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,0,..,0,..,..,..,..,..,0,..,0,..,..,..,..
182,VCT,Saint Vincent and the Grenadines,..,..,..,..,0,..,..,33.33,..,0,16.22,..,..,..,..,..,..,57.41,0.64,117.02,0,30.69,-1.4,0,-21,2.11,..,..,..,..,5571.43,..,..,4,..,0,..,0,..,..,25,..,..,..,..,10.2,..,..,..,0,..,0.4,-0.32,1.5,..,-0.06,..,4.09,9.18,..,..,0,..,0,..,0.46,99,..,..,2,25,0.48,150.47,1.43,..,..
183,WSM,Samoa,..,..,..,..,0,..,..,..,..,6.58,0,..,..,..,..,..,..,..,..,..,0,..,-2.1,0,34,4.4,..,..,..,..,816.67,0.1,..,4,..,0,..,0,..,..,25,..,88,..,..,..,..,..,..,0,..,-0.06,..,2,..,..,..,2.6,24.7,..,..,0,..,0,..,0.37,100,10.94,..,2,73.72,0.55,155.53,0.81,..,..
184,SMR,San Marino,..,..,..,..,100,..,..,0,..,72.73,0,..,..,..,..,..,..,..,..,..,..,..,..,0,17,1.19,..,..,..,..,..,..,..,..,..,0,..,0,..,..,6,..,..,..,..,0,..,..,..,0,..,..,-0.33,1,..,0,..,..,..,..,..,0,..,0,..,..,..,..,..,1,..,0.21,..,..,..,..
185,STP,Sao Tome and Principe,..,..,..,..,0,..,..,50,..,0.44,1.59,..,..,..,..,..,..,..,..,..,0,..,0,0,112,4.25,..,..,..,..,..,..,..,2,..,0,..,0,..,..,118,..,79,..,..,0,1.48,..,..,0,..,-0.25,1.09,1.5,..,-0.64,..,..,..,..,..,0,..,0,..,0.23,100,..,..,0,35.26,0.43,475.58,0.59,..,..
186,SAU,Saudi Arabia,..,..,..,0,0,9.68,11.69,0,0.28,49.29,0.58,..,..,..,..,0.35,0.09,0.2,0.56,4.1,0,4.61,0,0,120,4.81,4.05,..,230000,3.87,1066,0.7,90.73,3,..,0,..,0,..,..,28,3,..,0,0,41.8,0.39,39.13,..,0.14,0.18,0.57,0.44,7,..,-0.05,-10,17.6,0,..,..,0.03,..,0,..,0.44,67,22.44,..,4,13.46,0.4,631.76,16.91,..,32.2
187,SEN,Senegal,..,..,..,79,100,1.04,6.25,0,0.51,7.47,0.58,..,729.63,..,..,3.34,0.7,0.05,0.15,1.2,0,0.86,-0.7,0,126,5.12,1.23,0,..,0.24,162.2,0.1,17.73,6,..,0,3.79,0,..,..,138,24,72,0,..,11,1.23,19.57,28.33,0.6,0.3,-0.17,-0.2,2.5,31.37,-0.18,2.7,3.84,0,..,..,0.13,10.21,0,1.7,0.14,86,..,1.82,11,80.77,0.75,196.73,0.45,..,14.81
188,SCG,Serbia & Montenegro,..,..,..,14,100,2.23,12.5,4.17,..,0.08,7.44,..,..,..,..,17.93,..,..,..,..,2.99,..,-0.1,0,-4,1.71,..,0.7,..,0.54,..,0.8,20.29,..,..,0,3.24,0,..,..,19,9,93,0.38,0.16,3.7,1.21,..,..,0.25,2.45,-0.8,-0.95,2.5,28.87,-0.73,-1.5,..,..,..,..,..,9.49,0,2.13,0.45,100,26.16,..,5,..,0.35,837.5,3.96,394.1,25.69
189,SYC,Seychelles,..,..,..,..,0,..,..,54.55,..,36.39,14.02,..,..,..,..,..,..,..,..,..,..,43.96,0,0,11,2.01,..,..,..,..,200,2.7,..,2,..,0,..,0,..,..,16,..,87,..,..,7.5,..,..,..,35.71,..,0.52,-0.67,3,..,0,..,..,0,..,..,..,..,0,..,0.54,100,..,..,4,79.49,0.44,89.71,2.88,..,..
190,SLE,Sierra Leone,..,..,..,92,100,2.15,8.16,3.64,0.65,0.02,0.19,..,..,..,..,27.94,9.67,0.48,..,1.39,0,0.47,-2.9,0,100,6.5,0.88,..,..,0.03,6,..,0,4,..,0,..,0,..,..,284,50,57,0.14,0.38,4.5,0.84,..,..,0.19,..,-0.82,-1.25,4,..,-1.54,0,4.79,0,..,..,0,..,0,..,0.1,79,2.18,..,8,5.77,0.5,200.21,0.13,..,..
191,SGP,Singapore,30,20,..,0,100,5.93,3.53,0,..,0,89.42,..,..,..,..,..,..,..,..,..,0,960.7,0,0,6,1.26,..,0,203872,..,23530,..,..,5,..,0,5.8,0,1.36,1.58,4,..,..,..,1,5.5,1.39,32.61,64.33,0.96,0.24,2.3,-0.46,4.5,56.61,2.26,-2,15.59,0,..,-0.01,4.72,15.09,4,4.04,0.75,..,..,4052.29,5,..,0.42,141.74,14.71,..,..
192,SVK,Slovakia,37.44,13.4,49.21,5,100,1.91,10.59,0,0.59,0.33,9.44,9.99,..,0.19,3.18,14.41,0.32,2.08,2.08,1.8,3.3,29.36,0.9,27.23,-13,1.21,3.27,40,1660000,0.75,865.46,2.49,0,..,..,2.01,4.58,2,0.09,0,9,5,100,0.49,0.31,22.5,1.21,17.39,48.33,0.93,5.58,0.28,0.4,1.5,46.05,0.4,9,11.54,6.27,..,..,1.06,10.85,4,2.58,0.59,94,30.32,1773.69,7,39.74,0.71,419.3,7.8,128.57,30.21
193,SVN,Slovenia,32.47,8.71,36.04,0,81.47,0.48,12,10,0.56,2.41,7.35,10.57,..,0.09,..,14.98,6.76,3.23,3.59,1.87,2.69,47.65,0.2,40.11,-15,1.2,3.52,8,66779,1.29,4188.84,7.4,0,7,0,0,4.67,1,0.57,0.44,5,0,..,0,0,7.4,1.25,30.43,42.67,0.51,1.53,0.89,1.09,1,45.91,0.82,10,7.87,11.46,..,..,5.63,11.19,0,3.51,0.72,100,60.55,2258.03,5,80,0.69,171.74,8.2,96,31.55
194,SLB,Solomon Islands,..,..,..,..,0,14.11,37.74,10.53,0.6,19.9,0,..,..,..,..,..,..,..,..,..,0,..,-0.2,0,112,4.84,..,..,..,..,..,..,..,4,0,1.55,..,0,..,..,24,..,70,..,0.3,0.1,..,..,..,0,..,-0.86,0,3,..,-1.34,..,3.48,0,..,..,0,..,0,..,0.17,..,..,..,0,62.18,0.35,166.46,0.38,..,..
195,SOM,Somalia,..,..,..,..,0.33,2.37,11.11,0,0.53,36.71,0.02,..,..,..,..,3.83,0.4,0.05,..,0.5,0,0.06,-1,0,207,7.11,1.05,..,..,..,4.78,..,21.05,2,..,0,..,0,..,..,225,71,29,19.52,1.36,0.3,0.57,58.7,..,0,..,-1.19,0.4,6.5,..,-1.97,0,..,0,..,..,0,..,0,..,..,..,..,..,7,12.82,0.21,..,..,..,..
196,ZAF,South Africa,44.03,22.37,..,28,29.83,4.7,14.12,18.42,0.71,55.56,1.85,..,..,..,..,1.48,0.1,0.64,2.35,1.62,9.87,18.65,-0.1,0,-11,2.76,3.52,0,..,4.03,500.92,1.7,68.44,5,..,18.17,4.24,1,..,14.64,65,..,87,1.38,0.48,6.2,0.7,17.39,..,0.37,0.44,0.36,0.19,1.5,42.02,0.52,9.9,9.42,0.52,0.16,..,0.58,11.63,4,2.27,0.45,94,15.24,..,12,44.23,0.76,518.89,7.44,..,24.85
197,SGS,South Georgia and the South Sandwich Islands,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
198,KOR,South Korea,53.41,23.84,66.05,0,94.04,22.32,26.53,6.67,0.42,0.04,14.6,11.01,145.29,0.13,2.21,1.25,..,8.6,11.58,1.54,16.23,112.42,-0.1,58.9,-8,1.17,2.43,67,2820293,5.38,4225.83,12.8,9.34,6,..,0,..,7,1.2,0.72,5,0,92,2.86,1.45,3.6,1.79,8.7,65.33,0.1,3.61,0.33,0.88,2,43.08,0.84,8,9.86,0.43,0.03,0.94,1.85,12.43,3,4.69,0.82,100,77.62,2879.77,17,4,0.75,187.84,9.12,43.8,19.6
199,ESP,Spain,67.3,7.82,33.51,0,84.31,2.52,29.27,11.43,0.49,2.78,11.27,8.34,1086.96,0.23,..,2.27,0.7,3.36,3.57,5.93,1.54,53.31,0.6,3.65,-3,1.26,4.9,54,3222853,4.21,1676.93,2,87.82,6,..,2.2,4.45,7,0.48,0,6,1,..,0.21,0.42,9.2,1.36,13.04,64,0.88,8.77,1.46,1.15,1,44.11,1.53,10,6.33,5.92,0.7,0.15,5.54,11.38,4,3.46,0.67,..,59.36,1947.64,19,24,0.85,109.51,7.52,1394,31.62
200,LKA,Sri Lanka,..,..,..,89,100,5.6,25,46.81,0.66,0.22,4.25,..,..,..,..,1.86,0.4,0.91,0.68,2.1,0,8.69,-1.6,0,10,1.97,0.88,0,40617,2.59,2616.54,0.9,32.93,6,..,0.84,3.83,0,..,0,19,25,78,1.62,0.74,26.5,0.89,17.39,42,0.58,1.27,-0.14,0.23,3.5,29.98,0.03,6.2,2.67,17.14,..,..,0.19,10.07,0,1.76,0.38,100,..,190.54,9,62.82,0.61,166.83,0.55,8.15,16.78
201,SDN,Sudan,..,..,..,100,52.42,0.88,8.24,0,0.54,44.24,0.11,..,..,..,..,6.44,0.18,0.18,0.11,1.7,0,0.07,-1.4,0,115,5.35,1.2,..,..,..,48.67,..,31.13,4,..,0,..,0,..,..,94,25,69,294.62,0.34,4.9,0.49,26.09,..,0.03,0.03,-1.09,-1.36,7,..,-1.11,-5.9,2.37,8.7,..,..,0.02,..,0,..,0.13,48,6.85,..,13,3.21,0.5,147.6,0.17,..,49.76
202,SUR,Suriname,..,..,..,69,0,0.17,6.67,2,0.62,88.77,0.19,..,..,..,..,..,..,..,..,..,0,10.58,0,0,-19,2.54,..,..,..,..,982.46,2.6,..,2,..,0,..,0,..,..,40,11,92,..,..,12.7,0.92,..,..,0,..,0.19,1.92,1.5,..,-0.16,..,..,39.33,..,..,0,..,0,..,0.46,100,7.02,..,5,42.31,0.35,773.54,4.99,..,..
203,SJM,Svalbard and Jan Mayen Islands,..,..,..,..,0,..,..,..,..,100,0,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,0,..,0,..,..,..,..
204,SWZ,Swaziland,..,..,..,88,0,..,..,0,0.61,0,2.83,..,..,..,..,..,..,1.15,0.11,4.59,0.4,9.09,1.2,0,..,4.5,..,..,..,..,393.26,..,..,..,..,3.26,..,0,..,..,149,12,52,..,1.14,3.5,0.77,45.65,..,2.76,..,-0.26,-0.93,5.5,..,-0.44,-9,2.96,13.1,..,..,0,..,0,..,..,96,5.15,..,5,65.38,0.38,64.82,0.37,..,18.59
205,SWE,Sweden,18.2,3,54.67,0,29.03,0.8,10,0,0.3,43.62,3.77,9.73,152.97,0.11,..,15.77,2.22,1.16,0.27,1.96,0.4,20.81,..,34.37,18,1.73,7.95,86,801300,0.75,1065.33,0.7,1.73,4,..,37.11,5.56,4,0.08,0,3,1,100,0,..,7.2,1.74,6.52,12,0.9,32.38,2.25,1.92,1,59.56,1.84,10,9.09,32.4,0.43,1.28,9.94,13.76,4,5.52,0.85,99,70.04,5186.04,18,88,1,43.94,6.24,56.77,25.93
206,CHE,Switzerland,38.57,6.25,27.77,0,42.75,1.04,6.67,4.76,0.5,3.41,11.47,10.99,285.95,0.07,4.06,5.55,0.34,2.56,0.48,4.01,0.16,104.08,0.4,36.9,-3,1.37,5.26,91,1087091,3.16,2219.18,3.6,0,..,..,25.28,5.49,8,..,..,6,1,100,0.01,0.83,28.8,1.46,10.87,19.33,1.23,11.39,2.17,2.03,1,59.14,2.26,10,5.5,29.1,0.85,1.59,5.28,13.64,4,4.65,0.76,95,42.14,3591.85,16,56,1,31.71,6.25,21.08,23.18
207,SYR,Syria,..,..,..,19,27.59,3.92,6.35,0,0.47,0.21,3.1,..,..,..,..,2.5,0.23,0.21,0.71,1.97,0,2.85,0,0,95,3.8,1.74,21,53010,0.42,599.98,0.6,99.58,6,1.12,0,..,0,..,..,28,4,79,0,0.49,1.9,0.87,26.09,49.67,0.06,0.12,-0.29,-0.41,7,..,-0.57,-7.4,13.21,12.45,..,..,0.55,..,0,..,0.28,100,..,29.44,9,48.08,0.67,1152.24,3.27,..,22.77
208,TWN,Taiwan,35.67,10.45,104.21,..,0,4.2,17.14,27.27,..,0.1,29.18,6.1,2244,0.18,5.25,1.74,..,14.77,6.29,25.68,26.95,161.78,..,0,-3,1.22,4.67,14.6,673903,38.58,15256.8,47.33,6.8,..,..,0,4.91,0,..,..,4.97,..,100,..,1.97,8.3,1,..,54.67,0,..,0.81,0.95,2,48.58,1,9.3,11.28,1.55,0.15,0.1,..,13.6,3,5.92,0.79,100,68,1258.44,5,..,0,212,2.59,..,..
209,TJK,Tajikistan,..,..,..,100,48.93,..,10.71,0,0.46,32.83,2.08,..,..,..,..,11.03,0.91,0.16,2.61,0.79,0.02,1.46,0.5,0,52,3.06,0.65,..,..,..,130.11,0.8,94.82,..,10.87,0,..,0,85.9,88.69,72,71,58,0,0.38,18.3,0.59,43.48,..,0.16,..,-1.07,-1.27,5.5,..,-1.23,-2.4,35.43,65.31,..,..,0,..,0,..,0.21,100,14.04,..,1,28.85,0.29,878.6,0.65,134,..
210,TZA,Tanzania,..,..,..,96,1.75,3.99,12.97,25.48,0.67,14.35,0.14,..,..,..,..,6.71,0.83,0.19,0.1,1.57,0,0.16,-0.2,0,105,5.3,0.89,..,..,0.18,56.25,0.1,0.03,6,..,0,3.97,0,..,..,165,43,73,0.77,0.14,39.6,1.1,23.91,..,0.09,0.37,-1,-0.49,3.5,33.65,-0.51,-0.1,3.25,37.23,..,..,0.05,11.61,0,1.63,0.15,100,0.61,..,13,85.9,0.75,181.85,0.12,..,26.89
211,THA,Thailand,23,11,223,72,97.52,6.01,13.96,2.34,0.67,0.87,4.06,..,..,..,..,8.59,0.66,0.56,1.07,4.93,0.68,13.5,-0.7,0.27,15,1.7,1.41,0,..,0.71,1144.67,1.1,0.64,7,..,0.01,4.04,1,..,..,28,19,85,1.91,0.94,15.7,0.59,17.39,22,0.05,0.34,-0.15,0.3,2.5,38.59,0.28,9,6.75,2.5,0.23,-0.07,1.7,11.81,4,2.76,0.48,91,35.27,73.81,11,98.72,0.79,315.73,3.26,..,..
212,TLS,Timor-Leste,..,..,..,..,..,..,..,0,..,1.93,0.52,..,..,..,..,..,..,..,..,..,..,..,-0.6,0,75,4.1,..,..,..,..,..,..,..,..,..,0,..,0,..,..,126,..,52,..,0.08,..,..,..,..,0,..,..,0.27,3,..,-0.78,6,..,..,..,..,0,..,0,..,..,..,..,..,0,0.64,0.07,..,..,..,..
213,TGO,Togo,..,..,..,96,100,0,4.59,14.29,0.69,0,0.59,..,..,..,..,3.8,1.03,0.3,0.07,0.56,0,0.94,-3.4,0,74,5.5,0.86,0,..,..,76.49,0.1,0,6,..,0,..,0,..,..,141,25,51,0.04,0.06,11.3,0.92,32.61,..,0,0.42,-0.68,-0.67,5.5,..,-1.17,-2,2.37,0.17,..,..,0,..,0,..,0.18,100,3.72,..,11,8.33,0.81,335.49,0.39,..,18.66
