,Code,Country,EPI_2010,HLT_2010,ECO_2010,BDH_2010,CCH_2010,EPI_2006,HLT_2006,ECO_2006,BDH_2006,CCH_2006,EPI_2008,HLT_2008,BDH_2008,GDP_pc_ppp,Landarea,EPI_2012,HLT_2012,ECO_2012,BDH_2012,CCH_2012,EPI_2014,HLT_2014,ECO_2014,BDH_2014,CCH_2014,EPI_2016,HLT_2016,ECO_2016,BDH_2016,CCH_2016,EPI_2018,HLT_2018,ECO_2018,BDH_2018,CCE_2018,EPI_current,HLT_current,ECO_current,BDH_current,CCE_2020,Safety_score,Arrivals,CCH_2008,average_EPI,average_HLT,average_BDH,average_ECO,average_CCE,Rural_eco_rating,Urban_eco_rating
43,ROU,Romania,67.0,72.67,61.34,63.55,50.8,71.9,77.8,66.1,30.1,70.4,56.9,61.2,36.9,"$7,700",237127.99,48.34,60.67,43.05,45.33,41.82,50.52,61.85,42.96,63.51,62.82,83.24,81.19,85.28,95.77,96.18,64.78,58.67,68.85,90.8,68.53,64.7,50.0,74.4,85.0,84.6,1.64,11720000.0,44.9,65.57714285714286,66.19714285714286,66.51857142857143,66.48833333333333,72.22166666666668,68.40059285714287,68.18523571428572
44,CAN,Canada,66.4,92.77,40.1,61.91,37.34,86.6,98.9,74.4,67.6,69.3,84.0,98.6,55.2,"$31,500",9753742.04,58.41,100.00,40.59,53.59,27.81,73.14,97.92,56.61,58.4,59.85,85.06,95.15,74.96,74.5,74.59,72.18,97.51,55.29,83.2,39.88,71.0,91.7,57.3,60.5,65.7,1.389,21134000.0,59.5,76.91142857142857,96.07857142857144,65.90142857142857,59.77666666666667,57.77666666666667,63.22025714285715,83.43894285714286
45,NLD,Netherlands,66.4,89.33,43.38,80.05,39.19,78.7,98.1,59.4,9.1,66.1,78.7,97.1,26.1,"$29,500",34887.79,65.65,97.23,52.12,84.67,27.58,77.75,91.86,68.35,94.69,53.32,82.03,82.85,81.21,90.38,75.43,75.46,92.26,64.25,80.13,52.55,75.3,91.0,64.8,83.7,65.8,1.522,18780000.0,65.6,76.33428571428571,91.78571428571429,66.30714285714285,63.565,58.73166666666666,63.80723571428571,80.87787857142858
46,MDV,Maldives,65.9,64.26,67.62,0.13,75.46,,,,,,,,,,,,,,,,,,,,,57.1,87.43,26.77,35.92,,52.14,73.23,38.09,23.61,44.71,35.6,48.0,27.4,6.5,27.7,,1484000.0,,52.684999999999995,68.23,16.54,39.970000000000006,49.28999999999999,27.347499999999997,61.9798
47,FJI,Fiji,65.9,60.41,71.42,16.93,60.2,69.7,78.2,61.2,8.7,54.3,,,,,,,,,,,53.08,70.72,41.33,37.98,65.71,75.29,86.6,63.99,59.23,,53.09,61.7,47.35,46.45,56.91,34.4,34.7,34.2,25.1,36.9,,870000.0,,58.576666666666675,65.38833333333334,32.39833333333333,53.248333333333335,54.803999999999995,39.79220333333333,61.89550333333334
48,PHL,Philippines,65.7,65.88,65.49,64.16,64.45,77.9,82.5,73.4,44.5,82.0,69.4,63.6,69.0,"$5,000",297386.59,57.40,52.56,59.48,66.04,64.66,44.02,60.61,32.95,64.67,35.73,73.7,75.14,72.27,86.16,80.98,57.65,55.64,58.99,78.08,54.54,38.4,34.1,41.4,56.6,42.8,2.339,7168000.0,70.15,60.967142857142846,62.49571428571428,66.16714285714286,57.41666666666666,60.083333333333336,64.15948571428572,61.69962857142857
49,AUS,Australia,65.7,91.73,39.58,77.86,27.64,79.8,99.3,60.4,78.1,42.5,80.1,99.0,49.6,"$30,700",7716284.08,56.61,98.99,38.45,85.43,13.38,82.4,99.44,71.03,83.08,47.67,87.22,98.71,75.73,87.18,62.81,74.12,97.95,58.23,84.64,48.18,74.9,91.6,63.8,83.7,70.4,1.565,9246000.0,57.7,77.74857142857142,96.81857142857143,77.73714285714286,61.46166666666667,49.866666666666674,68.53988571428572,81.32444285714287
50,MAR,Morocco,65.6,73.38,57.84,25.46,56.64,72.1,85.2,59.0,15.4,66.5,64.1,75.7,54.7,"$4,200",406797.78,45.76,60.29,39.53,22.34,57.05,51.89,63.35,44.25,31.2,49.4,74.18,74.28,74.09,91.1,59.61,63.47,67.43,60.82,88.43,49.66,42.3,33.3,48.3,67.4,48.7,1.969,12289000.0,64.75,61.948571428571434,67.52,53.384285714285724,57.38333333333333,55.08499999999999,53.94552142857144,63.41645
51,BLR,Belarus,65.4,74.73,56.01,70.13,51.57,80.5,95.4,65.6,23.3,68.3,,,,,207643.23,53.88,84.65,40.70,42.47,26.46,67.69,81.0,58.82,41.25,43.15,82.3,87.37,77.24,73.06,94.87,64.98,69.55,61.94,65.61,64.73,53.0,55.9,51.1,61.2,53.1,2.259,11501600.0,,68.97833333333334,77.325,55.75833333333333,61.785,62.620000000000005,58.02268333333333,72.47235
52,MYS,Malaysia,65.0,81.31,48.67,74.07,42.33,84.0,96.7,71.2,68.3,61.9,83.3,88.8,71.5,"$9,700",331235.22,62.51,85.28,52.75,90.10,27.99,59.31,87.71,40.37,93.37,40.24,74.23,84.21,64.25,90.85,58.95,59.22,66.63,54.28,76.68,47.68,47.9,55.4,42.9,55.1,52.8,1.471,25832000.0,70.3,67.5657142857143,80.10857142857142,75.69571428571429,53.61166666666666,50.650000000000006,67.43062857142857,70.38724285714287
