,Code,Country,Landarea_x,EPI_2010,HLT_2010,ECO_2010,BDH_2010,CCH_2010,landarea,EPI_2006,HLT_2006,ECO_2006,BDH_2006,CCH_2006,EPI_2008,HLT_2008,BDH_2008,air,energy,GDP_pc_ppp,Landarea_y,EPI_2012,HLT_2012,ECO_2012,BDH_2012,CCH_2012,EPI_2014,HLT_2014,ECO_2014,BDH_2014,CCH_2014,EPI_2016,HLT_2016,ECO_2016,BDH_2016,CCH_2016,EPI_2018,HLT_2018,ECO_2018,BDH_2018,CCE_2018,EPI_current,HLT_current,ECO_current,BDH_current,CCE_2020,2022,Arrivals
44,BLR,Belarus,207012.55,65.4,74.73,56.01,70.13,51.57,207012.55,80.5,95.4,65.6,23.3,68.3,,,,,,,207643.23,53.88,84.65,40.70,42.47,26.46,67.69,81.0,58.82,41.25,43.15,82.3,87.37,77.24,73.06,94.87,64.98,69.55,61.94,65.61,64.73,53.0,55.9,51.1,61.2,53.1,2.259,11501600.0
45,MYS,Malaysia,330798.79,65.0,81.31,48.67,74.07,42.33,330798.79,84.0,96.7,71.2,68.3,61.9,83.3,88.8,71.5,79.8,60.8,"$9,700",331235.22,62.51,85.28,52.75,90.10,27.99,59.31,87.71,40.37,93.37,40.24,74.23,84.21,64.25,90.85,58.95,59.22,66.63,54.28,76.68,47.68,47.9,55.4,42.9,55.1,52.8,1.471,25832000.0
46,SVN,Slovenia,20223.97,65.0,84.98,44.93,51.14,41.37,20223.97,86.3,97.8,74.8,36.5,77.2,77.5,97.3,23.5,56.1,72.6,"$19,600",20265.26,62.25,88.05,51.20,76.88,35.20,76.43,91.37,66.47,100.0,54.59,88.98,88.32,89.65,100.0,82.2,67.57,72.34,64.4,95.78,51.16,72.0,68.9,74.1,86.4,75.2,1.316,4425000.0
47,EST,Estonia,43178.85,63.8,76.85,50.76,88.53,36.0,43178.85,85.2,97.7,72.7,72.4,61.8,,,,,,,45257.38,56.09,70.48,49.92,100.00,16.45,74.66,89.12,65.02,100.0,56.71,88.59,95.26,81.91,100.0,76.58,64.31,73.24,58.35,92.39,33.62,65.3,73.0,60.1,87.0,59.0,1.662,3234000.0
48,LKA,Sri Lanka,65830.04,63.7,45.84,81.59,73.99,79.71,65830.04,79.5,78.8,80.3,62.6,85.6,64.6,61.3,56.6,52.7,82.6,"$4,000",66264.46,55.72,66.54,51.08,49.72,67.80,53.88,67.49,44.8,67.7,54.62,65.55,71.07,60.02,81.98,91.12,60.61,64.7,57.88,80.38,70.88,39.0,42.1,36.9,61.1,31.0,2.02,2334000.0
49,GEO,Georgia,69236.14,63.6,72.14,55.15,26.85,54.38,69236.14,82.2,88.4,75.9,18.6,92.7,61.4,61.8,31.8,33.2,58.2,"$3,100",69889.8,56.84,75.44,48.88,28.36,66.79,47.23,73.12,29.97,29.59,45.43,64.96,78.12,51.81,70.31,51.28,55.69,57.1,54.75,62.33,48.41,41.3,38.7,43.1,46.2,50.1,2.065,4757000.0
50,PRY,Paraguay,395907.51,63.5,58.07,68.96,53.04,72.48,395907.51,77.7,73.3,82.1,58.5,94.2,66.4,63.7,43.8,53.9,69.9,"$4,800",401294.15,52.40,52.18,52.50,21.29,89.49,39.25,59.03,26.07,31.2,44.09,70.36,81.14,59.58,78.94,68.1,53.93,58.1,51.15,64.02,54.05,46.4,46.8,46.2,62.8,40.9,1.976,1181000.0
51,USA,United States of America,9210753.38,63.5,88.3,38.65,65.92,29.37,,,,,,,,,,,,,9325028.98,56.59,94.47,40.36,71.76,17.73,67.52,92.74,50.71,63.35,56.45,84.72,94.41,75.03,79.35,80.88,71.19,93.91,56.04,70.93,45.81,69.3,82.8,60.3,67.5,71.4,2.44,
52,BRA,Brazil,8511043.6,63.4,71.63,55.19,61.31,46.44,8511043.6,82.7,86.9,78.4,53.9,83.3,77.0,79.3,50.5,64.0,80.6,"$8,100",8536317.62,60.90,62.07,60.40,76.76,71.64,52.97,72.22,40.13,66.74,53.82,78.9,87.14,70.67,92.62,56.41,60.7,67.44,56.21,88.17,33.24,51.2,49.7,52.2,78.1,51.7,2.465,6621000.0
53,POL,Poland,311195.23,63.1,75.19,51.03,80.44,45.93,311195.23,80.5,93.6,67.4,48.4,62.7,76.2,95.0,29.2,54.0,54.7,"$12,000",311370.35,63.47,89.22,52.43,98.81,25.91,69.53,76.25,65.05,91.76,60.53,81.26,80.54,81.98,99.76,88.91,64.11,58.71,67.72,96.37,64.33,60.9,58.9,62.3,89.0,65.4,1.552,19622000.0
54,VEN,Venezuela,911835.87,62.9,79.13,46.67,78.19,47.24,911835.87,80.0,88.5,71.6,74.9,68.4,74.1,81.8,88.0,76.9,32.1,"$5,800",917025.5,55.62,71.03,49.02,88.14,37.33,57.8,72.83,47.79,92.92,43.59,76.23,81.21,71.24,95.73,70.24,63.89,75.74,55.99,96.21,37.8,50.3,46.5,52.9,75.1,63.3,2.798,
55,BGR,Bulgaria,111307.14,62.5,73.21,51.85,66.94,39.92,111307.14,78.5,94.7,62.2,21.3,63.3,72.0,93.7,30.9,48.8,28.1,"$8,200",111464.48,56.28,92.16,40.90,57.25,29.55,64.01,86.57,48.97,68.85,48.18,83.4,85.18,81.62,88.98,77.03,67.85,69.6,66.68,93.39,56.04,57.0,50.3,61.5,77.7,69.5,1.541,9273000.0
56,ISR,Israel,21878.11,62.4,92.11,32.75,72.76,32.37,21878.11,79.6,97.9,61.3,62.7,60.5,73.7,95.9,47.3,49.6,76.0,"$20,800",22468.13,54.64,97.59,36.23,60.89,27.21,65.78,92.57,47.93,39.34,41.86,78.14,79.43,76.85,71.29,82.23,75.01,94.14,62.25,59.33,57.09,65.8,83.6,54.0,47.6,56.9,2.576,4121000.0
57,THA,Thailand,513634.82,62.2,65.58,58.73,79.77,52.97,513634.82,79.2,85.5,72.8,55.7,71.1,66.8,71.0,60.2,47.5,68.1,"$8,100",516845.15,59.98,71.37,55.09,78.91,39.19,52.83,71.17,40.61,70.19,46.05,69.54,71.61,67.46,86.08,55.92,49.88,46.21,52.33,74.91,45.75,45.4,48.4,43.5,53.0,52.5,2.098,38178000.0
58,EGY,Egypt,968071.46,62.0,63.04,60.97,59.17,62.12,968071.46,76.3,79.6,73.0,77.2,68.9,57.9,74.6,23.9,14.8,57.2,"$4,200",987472.45,55.18,74.81,46.77,42.99,43.59,61.11,69.47,55.54,65.26,61.05,66.45,69.97,62.93,72.75,50.86,61.21,68.61,56.28,62.39,55.68,43.3,33.8,49.7,50.6,55.0,2.342,
